# User:
# joku8258
# Hostname:
# c3cpu-c15-u1-1.rc.int.colorado.edu
# CPU info:
# Architecture:        x86_64
# CPU op-mode(s):      32-bit, 64-bit
# Byte Order:          Little Endian
# CPU(s):              64
# On-line CPU(s) list: 0-63
# Thread(s) per core:  1
# Core(s) per socket:  64
# Socket(s):           1
# NUMA node(s):        1
# Vendor ID:           AuthenticAMD
# CPU family:          25
# Model:               1
# Model name:          AMD EPYC 7713P 64-Core Processor
# Stepping:            1
# CPU MHz:             2505.904
# Computation started at:
# Tue Feb  6 12:06:53 MST 2024
# git commit: f14e4249c69ec30b53491297049546f3ef1d8a55, branch: master, compiled at: Wed Jan 31 10:48:31 MST 2024
#
# nproc used: 1
#
# Number of orbitals:  17, nalpha:  4, nbeta:  4
# Initial state energy:  -152.063
# Number of Cholesky vectors: 143
#
# block     propTime           eshift          weight             energy          cumulative_energy          walltime         Orbital_Energy
    29     7.250e+00       -1.51848e+02     9.77378e-01      -1.522776944e+02               -                4.17e-02          -6.239472903e-02
    30     7.500e+00       -1.52619e+02     1.01591e+00      -1.522234182e+02               -                4.31e-02          -5.460248614e-02
    31     7.750e+00       -1.52581e+02     1.01439e+00      -1.523233820e+02               -                4.45e-02          -8.249898683e-02
    32     8.000e+00       -1.52487e+02     1.00951e+00      -1.523179948e+02               -                4.59e-02          -7.412354653e-02
    33     8.250e+00       -1.52550e+02     1.01258e+00      -1.522106603e+02               -                4.73e-02          -4.567476653e-02
    34     8.500e+00       -1.52263e+02     9.98617e-01      -1.522269995e+02               -                4.87e-02          -5.817022580e-02
    35     8.750e+00       -1.52338e+02     1.00265e+00      -1.521672659e+02               -                5.01e-02          -3.571660939e-02
    36     9.000e+00       -1.51873e+02     9.80177e-01      -1.521487290e+02               -                5.16e-02          -3.328311510e-02
    37     9.250e+00       -1.51766e+02     9.75581e-01      -1.520988753e+02               -                5.30e-02          -6.350742396e-03
    38     9.500e+00       -1.51739e+02     9.75052e-01      -1.521018819e+02               -                5.44e-02          -1.848998320e-02
    39     9.750e+00       -1.52412e+02     1.00912e+00      -1.521339681e+02               -                5.58e-02          -3.578747755e-02
    40     1.000e+01       -1.52456e+02     1.01182e+00      -1.521248630e+02               -                5.72e-02          -8.912223123e-03
    41     1.025e+01       -1.52415e+02     1.01024e+00      -1.521488667e+02               -                5.86e-02          -2.809877504e-02
    42     1.050e+01       -1.51807e+02     9.80329e-01      -1.521919296e+02               -                6.00e-02          -4.079437015e-02
    43     1.075e+01       -1.52271e+02     1.00339e+00      -1.521118389e+02               -                6.15e-02          -1.582799101e-02
    44     1.100e+01       -1.52201e+02     1.00034e+00      -1.520702583e+02               -                6.29e-02          1.742184794e-03
    45     1.125e+01       -1.51970e+02     9.89449e-01      -1.522279123e+02               -                6.43e-02          -4.073078011e-02
    46     1.150e+01       -1.51827e+02     9.82198e-01      -1.523562239e+02               -                6.57e-02          -1.076694315e-01
    47     1.175e+01       -1.51831e+02     9.81554e-01      -1.521810855e+02               -                6.71e-02          -3.341914420e-02
    48     1.200e+01       -1.51932e+02     9.86643e-01      -1.520801909e+02               -                6.85e-02          -1.609602604e-02
    49     1.225e+01       -1.52355e+02     1.00834e+00      -1.521358533e+02               -                6.99e-02          -3.202566166e-04
    50     1.250e+01       -1.52080e+02     9.94835e-01      -1.521074322e+02         -1.521074322e+02       7.14e-02          4.597861804e-03
    51     1.275e+01       -1.52331e+02     1.00779e+00      -1.521436577e+02         -1.521256622e+02       7.28e-02          -1.941129533e-02
    52     1.300e+01       -1.52203e+02     1.00151e+00      -1.521159921e+02         -1.521224384e+02       7.42e-02          -1.722593141e-02
    53     1.325e+01       -1.52067e+02     9.94986e-01      -1.521342068e+02         -1.521253664e+02       7.56e-02          -1.809487489e-02
    54     1.350e+01       -1.52086e+02     9.96101e-01      -1.520957315e+02         -1.521194569e+02       7.70e-02          -2.182469331e-03
    55     1.375e+01       -1.52066e+02     9.95439e-01      -1.521842929e+02         -1.521302304e+02       7.84e-02          -1.876158806e-02
    56     1.400e+01       -1.52015e+02     9.92784e-01      -1.521478259e+02         -1.521327318e+02       7.99e-02          -1.623499933e-02
    57     1.425e+01       -1.52061e+02     9.95106e-01      -1.522278929e+02         -1.521446005e+02       8.13e-02          -4.678100687e-02
    58     1.450e+01       -1.52255e+02     1.00448e+00      -1.521677515e+02         -1.521471893e+02       8.27e-02          -1.561447818e-02
    59     1.475e+01       -1.52146e+02     9.99013e-01      -1.521601820e+02         -1.521484896e+02       8.41e-02          -3.157621670e-02
    60     1.500e+01       -1.52500e+02     1.01686e+00      -1.523428363e+02         -1.521664571e+02       8.56e-02          -8.820466247e-02
    61     1.525e+01       -1.52751e+02     1.02882e+00      -1.522784203e+02         -1.521760341e+02       9.66e-02          -6.430235319e-02
    62     1.550e+01       -1.52481e+02     1.01451e+00      -1.521439488e+02         -1.521735383e+02       9.80e-02          -2.157105518e-02
    63     1.575e+01       -1.51864e+02     9.83943e-01      -1.522005741e+02         -1.521754349e+02       9.94e-02          -4.565203494e-02
    64     1.600e+01       -1.52255e+02     1.00333e+00      -1.522417071e+02         -1.521798591e+02       1.01e-01          -8.585190765e-02
    65     1.625e+01       -1.52291e+02     1.00487e+00      -1.521420423e+02         -1.521774891e+02       1.02e-01          2.219865393e-02
    66     1.650e+01       -1.51517e+02     9.66969e-01      -1.520820419e+02         -1.521720604e+02       1.04e-01          -5.488443269e-03
    67     1.675e+01       -1.52452e+02     1.01377e+00      -1.521531749e+02         -1.521709977e+02       1.05e-01          -1.743221404e-02
    68     1.700e+01       -1.52010e+02     9.91727e-01      -1.521132516e+02         -1.521679846e+02       1.06e-01          -3.005085149e-02
    69     1.725e+01       -1.52765e+02     1.03021e+00      -1.522029562e+02         -1.521697827e+02       1.08e-01          -5.972768358e-02
    70     1.750e+01       -1.52021e+02     9.92411e-01      -1.521090217e+02         -1.521669153e+02       1.09e-01          -2.864801184e-02
    71     1.775e+01       -1.52223e+02     1.00285e+00      -1.522319243e+02         -1.521698743e+02       1.11e-01          -5.210552564e-02
    72     1.800e+01       -1.52103e+02     9.96502e-01      -1.523753018e+02         -1.521787636e+02       1.12e-01          -7.426526243e-02
    73     1.825e+01       -1.52328e+02     1.00678e+00      -1.521920975e+02         -1.521793221e+02       1.14e-01          -4.827962612e-02
    74     1.850e+01       -1.52219e+02     1.00131e+00      -1.522784939e+02         -1.521832883e+02       1.15e-01          -1.011769878e-01
    75     1.875e+01       -1.52092e+02     9.94531e-01      -1.521320432e+02         -1.521813305e+02       1.16e-01          -4.327106044e-02
    76     1.900e+01       -1.51810e+02     9.80950e-01      -1.523619734e+02         -1.521878905e+02       1.18e-01          -1.472591073e-01
    77     1.925e+01       -1.52276e+02     1.00325e+00      -1.520927670e+02         -1.521844841e+02       1.19e-01          -1.877282452e-02
    78     1.950e+01       -1.52125e+02     9.96271e-01      -1.521457324e+02         -1.521831533e+02       1.21e-01          -3.043133789e-03
    79     1.975e+01       -1.52923e+02     1.03713e+00      -1.524248688e+02         -1.521914960e+02       1.22e-01          -9.639415567e-02
    80     2.000e+01       -1.52299e+02     1.00411e+00      -1.522620517e+02         -1.521937775e+02       1.24e-01          -5.915179631e-02
    81     2.025e+01       -1.52145e+02     9.96189e-01      -1.521787776e+02         -1.521933112e+02       1.31e-01          -1.028591099e-02
    82     2.050e+01       -1.52397e+02     1.00903e+00      -1.522414387e+02         -1.521947802e+02       1.33e-01          -1.607859081e-03
    83     2.075e+01       -1.52826e+02     1.03080e+00      -1.526876992e+02         -1.522096852e+02       1.34e-01          -7.997768258e-02
    84     2.100e+01       -1.52978e+02     1.03621e+00      -1.526184649e+02         -1.522217444e+02       1.36e-01          -1.108001763e-01
    85     2.125e+01       -1.52094e+02     9.89659e-01      -1.524643020e+02         -1.522283912e+02       1.37e-01          -9.595832541e-02
    86     2.150e+01       -1.53138e+02     1.04186e+00      -1.531023204e+02         -1.522528958e+02       1.39e-01          -2.124988839e-01
    87     2.175e+01       -1.52855e+02     1.02319e+00      -1.526508168e+02         -1.522635598e+02       1.40e-01          -1.156658925e-01
    88     2.200e+01       -1.52107e+02     9.84363e-01      -1.523720317e+02         -1.522662861e+02       1.41e-01          -5.340829298e-02
    89     2.225e+01       -1.52463e+02     1.00230e+00      -1.523841077e+02         -1.522692262e+02       1.43e-01          -1.306896264e-01
    90     2.250e+01       -1.52379e+02     9.98256e-01      -1.522790527e+02         -1.522694645e+02       1.44e-01          -6.407500179e-02
    91     2.275e+01       -1.52421e+02     1.00103e+00      -1.522835045e+02         -1.522697978e+02       1.46e-01          -6.704643832e-02
    92     2.300e+01       -1.52336e+02     9.97382e-01      -1.523149495e+02         -1.522708411e+02       1.47e-01          -7.734832123e-02
    93     2.325e+01       -1.52355e+02     9.98692e-01      -1.522795840e+02         -1.522710388e+02       1.49e-01          -5.332873331e-02
    94     2.350e+01       -1.52547e+02     1.00883e+00      -1.525101065e+02         -1.522763780e+02       1.50e-01          -9.991529584e-02
    95     2.375e+01       -1.52297e+02     9.95626e-01      -1.521932745e+02         -1.522745858e+02       1.51e-01          -3.434189108e-02
    96     2.400e+01       -1.52409e+02     1.00214e+00      -1.521072296e+02         -1.522710302e+02       1.53e-01          -1.700279087e-02
    97     2.425e+01       -1.52088e+02     9.87487e-01      -1.522033982e+02         -1.522696434e+02       1.54e-01          -4.173054884e-02
    98     2.450e+01       -1.52015e+02     9.84568e-01      -1.521713078e+02         -1.522676731e+02       1.56e-01          -2.358425993e-02
    99     2.475e+01       -1.51952e+02     9.82223e-01      -1.521739370e+02         -1.522658363e+02       1.57e-01          -2.790624315e-02
   100     2.500e+01       -1.52238e+02     9.97034e-01      -1.523595246e+02         -1.522676635e+02       1.59e-01          -7.555609977e-02
   101     2.525e+01       -1.51966e+02     9.83264e-01      -1.522434741e+02         -1.522672070e+02       1.67e-01          -3.053077005e-02
   102     2.550e+01       -1.51901e+02     9.80378e-01      -1.522424014e+02         -1.522667489e+02       1.68e-01          -6.534341204e-02
   103     2.575e+01       -1.52258e+02     9.98294e-01      -1.521037401e+02         -1.522637400e+02       1.70e-01          -6.095367409e-03
   104     2.600e+01       -1.52028e+02     9.87845e-01      -1.521372568e+02         -1.522614711e+02       1.71e-01          -2.941615748e-02
   105     2.625e+01       -1.51967e+02     9.85474e-01      -1.521932862e+02         -1.522602724e+02       1.73e-01          -4.024813196e-02
   106     2.650e+01       -1.51961e+02     9.85508e-01      -1.520782419e+02         -1.522571274e+02       1.74e-01          -6.730763566e-03
   107     2.675e+01       -1.51618e+02     9.69617e-01      -1.520820756e+02         -1.522542015e+02       1.76e-01          -1.114689549e-02
   108     2.700e+01       -1.51976e+02     9.87864e-01      -1.520649095e+02         -1.522510320e+02       1.77e-01          -7.004964415e-03
   109     2.725e+01       -1.52065e+02     9.93053e-01      -1.520847489e+02         -1.522482795e+02       1.78e-01          1.565694423e-03
   110     2.750e+01       -1.52389e+02     1.00988e+00      -1.522733036e+02         -1.522486937e+02       1.80e-01          -6.063836676e-02
   111     2.775e+01       -1.51917e+02     9.85913e-01      -1.523579082e+02         -1.522504308e+02       1.81e-01          -7.665482508e-02
   112     2.800e+01       -1.51950e+02     9.86763e-01      -1.521169618e+02         -1.522483394e+02       1.83e-01          -1.793754517e-02
   113     2.825e+01       -1.52276e+02     1.00346e+00      -1.523170034e+02         -1.522494164e+02       1.84e-01          -6.634202165e-02
   114     2.850e+01       -1.51912e+02     9.84865e-01      -1.523061528e+02         -1.522502765e+02       1.86e-01          -5.572726024e-02
   115     2.875e+01       -1.51981e+02     9.87814e-01      -1.522484123e+02         -1.522502486e+02       1.87e-01          -6.243188557e-02
   116     2.900e+01       -1.52549e+02     1.01616e+00      -1.521814212e+02         -1.522492042e+02       1.89e-01          -4.929613244e-02
   117     2.925e+01       -1.52320e+02     1.00483e+00      -1.521190019e+02         -1.522472794e+02       1.90e-01          -3.717005850e-02
   118     2.950e+01       -1.52005e+02     9.89615e-01      -1.523067792e+02         -1.522481333e+02       1.92e-01          -5.232175301e-02
   119     2.975e+01       -1.52544e+02     1.01620e+00      -1.522599796e+02         -1.522483053e+02       1.93e-01          -5.602383547e-02
   120     3.000e+01       -1.52652e+02     1.02149e+00      -1.523064938e+02         -1.522491425e+02       1.95e-01          -9.000107466e-02
   121     3.025e+01       -1.52485e+02     1.01262e+00      -1.522361555e+02         -1.522489599e+02       2.02e-01          -5.801270475e-02
   122     3.050e+01       -1.52145e+02     9.95540e-01      -1.522529965e+02         -1.522490149e+02       2.03e-01          -7.135381400e-02
   123     3.075e+01       -1.52050e+02     9.90717e-01      -1.522653763e+02         -1.522492340e+02       2.05e-01          -7.344042728e-02
   124     3.100e+01       -1.52014e+02     9.88793e-01      -1.520774178e+02         -1.522469683e+02       2.06e-01          -2.556805764e-03
   125     3.125e+01       -1.52307e+02     1.00418e+00      -1.521370665e+02         -1.522455160e+02       2.08e-01          -2.338929548e-02
   126     3.150e+01       -1.52339e+02     1.00625e+00      -1.526233692e+02         -1.522504541e+02       2.09e-01          -2.326254613e-01
   127     3.175e+01       -1.52694e+02     1.02219e+00      -1.523004035e+02         -1.522511085e+02       2.11e-01          -5.553846394e-02
   128     3.200e+01       -1.52020e+02     9.88055e-01      -1.521901834e+02         -1.522503466e+02       2.12e-01          -5.020285027e-02
   129     3.225e+01       -1.51889e+02     9.81979e-01      -1.521187354e+02         -1.522487309e+02       2.14e-01          -2.105157094e-02
   130     3.250e+01       -1.51733e+02     9.75009e-01      -1.521809043e+02         -1.522479141e+02       2.15e-01          -2.517307467e-02
   131     3.275e+01       -1.51989e+02     9.87861e-01      -1.522561205e+02         -1.522480130e+02       2.17e-01          -8.259501134e-02
   132     3.300e+01       -1.52238e+02     1.00013e+00      -1.521676749e+02         -1.522470444e+02       2.18e-01          -5.333799289e-02
   133     3.325e+01       -1.52646e+02     1.02106e+00      -1.523316568e+02         -1.522480732e+02       2.19e-01          -1.097838627e-01
   134     3.350e+01       -1.52257e+02     1.00088e+00      -1.522466638e+02         -1.522480566e+02       2.21e-01          -4.527231836e-02
   135     3.375e+01       -1.52102e+02     9.93125e-01      -1.523772697e+02         -1.522495494e+02       2.22e-01          -1.048902253e-01
   136     3.400e+01       -1.51914e+02     9.83172e-01      -1.521082748e+02         -1.522479519e+02       2.24e-01          -1.650503378e-02
   137     3.425e+01       -1.52094e+02     9.92755e-01      -1.522753197e+02         -1.522482609e+02       2.25e-01          -6.568639356e-02
   138     3.450e+01       -1.52272e+02     1.00144e+00      -1.526372094e+02         -1.522526401e+02       2.27e-01          -2.162319880e-01
   139     3.475e+01       -1.52388e+02     1.00530e+00      -1.522608550e+02         -1.522527319e+02       2.28e-01          -8.686646813e-02
   140     3.500e+01       -1.51796e+02     9.76071e-01      -1.522258586e+02         -1.522524435e+02       2.29e-01          -3.665239352e-02
   141     3.525e+01       -1.52325e+02     1.00250e+00      -1.521897508e+02         -1.522517598e+02       2.39e-01          -4.749595883e-02
   142     3.550e+01       -1.52202e+02     9.96798e-01      -1.521343932e+02         -1.522505008e+02       2.40e-01          -1.619047537e-02
   143     3.575e+01       -1.52442e+02     1.00951e+00      -1.521624511e+02         -1.522495545e+02       2.42e-01          -5.787529525e-02
   144     3.600e+01       -1.52650e+02     1.02050e+00      -1.523675631e+02         -1.522508228e+02       2.43e-01          -1.278150077e-01
   145     3.625e+01       -1.52318e+02     1.00311e+00      -1.521860633e+02         -1.522501458e+02       2.44e-01          -3.323154399e-02
   146     3.650e+01       -1.52221e+02     9.98562e-01      -1.522257321e+02         -1.522498944e+02       2.46e-01          -4.007920170e-02
   147     3.675e+01       -1.52600e+02     1.01779e+00      -1.522838937e+02         -1.522502476e+02       2.47e-01          -7.992893068e-02
   148     3.700e+01       -1.51237e+02     9.50572e-01      -1.521187845e+02         -1.522489843e+02       2.49e-01          -1.760494962e-02
   149     3.725e+01       -1.52196e+02     9.97927e-01      -1.522804591e+02         -1.522492987e+02       2.50e-01          -4.533472237e-02
   150     3.750e+01       -1.51988e+02     9.87414e-01      -1.523869923e+02         -1.522506460e+02       2.52e-01          -9.218784831e-02
   151     3.775e+01       -1.51854e+02     9.80078e-01      -1.522575362e+02         -1.522507123e+02       2.53e-01          -4.060139266e-02
   152     3.800e+01       -1.51904e+02     9.82522e-01      -1.522630364e+02         -1.522508300e+02       2.54e-01          -9.185841680e-02
   153     3.825e+01       -1.51974e+02     9.85959e-01      -1.522526487e+02         -1.522508473e+02       2.56e-01          -9.445253128e-02
   154     3.850e+01       -1.52332e+02     1.00377e+00      -1.521842816e+02         -1.522502101e+02       2.57e-01          -3.127204018e-02
   155     3.875e+01       -1.51563e+02     9.66275e-01      -1.522152168e+02         -1.522498906e+02       2.59e-01          -2.725046961e-02
   156     3.900e+01       -1.52192e+02     9.97314e-01      -1.521658210e+02         -1.522491057e+02       2.60e-01          -3.480317797e-02
   157     3.925e+01       -1.52134e+02     9.94809e-01      -1.522322703e+02         -1.522489504e+02       2.62e-01          -4.940056621e-02
   158     3.950e+01       -1.52367e+02     1.00649e+00      -1.521870080e+02         -1.522483775e+02       2.63e-01          -3.000260149e-02
   159     3.975e+01       -1.51912e+02     9.84091e-01      -1.521006036e+02         -1.522470532e+02       2.65e-01          -6.689529075e-03
   160     4.000e+01       -1.52296e+02     1.00384e+00      -1.523400145e+02         -1.522478953e+02       2.66e-01          -9.126789331e-02
   161     4.025e+01       -1.52011e+02     9.89030e-01      -1.521869533e+02         -1.522473562e+02       2.75e-01          -3.073469754e-02
   162     4.050e+01       -1.51169e+02     9.48477e-01      -1.522116818e+02         -1.522470561e+02       2.76e-01          -4.647465462e-02
   163     4.075e+01       -1.52441e+02     1.01085e+00      -1.522189265e+02         -1.522468062e+02       2.77e-01          -7.202581497e-02
   164     4.100e+01       -1.51945e+02     9.86092e-01      -1.521404411e+02         -1.522458922e+02       2.79e-01          -1.478905176e-02
   165     4.125e+01       -1.51183e+02     9.49669e-01      -1.524652540e+02         -1.522476927e+02       2.80e-01          -1.229816444e-01
   166     4.150e+01       -1.52452e+02     1.01059e+00      -1.523495175e+02         -1.522485744e+02       2.82e-01          -9.771022446e-02
   167     4.175e+01       -1.52669e+02     1.02107e+00      -1.525135749e+02         -1.522508727e+02       2.83e-01          -1.255271868e-01
   168     4.200e+01       -1.52025e+02     9.87404e-01      -1.521419661e+02         -1.522499669e+02       2.84e-01          -5.762262560e-02
   169     4.225e+01       -1.51825e+02     9.78259e-01      -1.522946641e+02         -1.522503322e+02       2.86e-01          -4.984906105e-02
   170     4.250e+01       -1.52322e+02     1.00275e+00      -1.525342807e+02         -1.522526912e+02       2.87e-01          -1.571502652e-01
   171     4.275e+01       -1.52652e+02     1.01805e+00      -1.522406016e+02         -1.522525901e+02       2.89e-01          -6.260130890e-02
   172     4.300e+01       -1.51583e+02     9.65309e-01      -1.522334167e+02         -1.522524392e+02       2.90e-01          -4.818388870e-02
   173     4.325e+01       -1.52319e+02     1.00178e+00      -1.521580287e+02         -1.522516745e+02       2.92e-01          -8.394370329e-03
   174     4.350e+01       -1.51793e+02     9.76416e-01      -1.521965871e+02         -1.522512431e+02       2.93e-01          -2.413255304e-02
   175     4.375e+01       -1.52134e+02     9.93568e-01      -1.523054917e+02         -1.522516720e+02       2.94e-01          -1.225394485e-01
   176     4.400e+01       -1.52149e+02     9.94106e-01      -1.521469553e+02         -1.522508501e+02       2.96e-01          -4.229806129e-02
   177     4.425e+01       -1.52287e+02     1.00157e+00      -1.521041681e+02         -1.522496992e+02       2.97e-01          -1.057951750e-02
   178     4.450e+01       -1.52460e+02     1.01103e+00      -1.520840440e+02         -1.522483974e+02       2.99e-01          -8.700204013e-03
   179     4.475e+01       -1.52141e+02     9.95846e-01      -1.521247450e+02         -1.522474477e+02       3.00e-01          -2.787829373e-02
   180     4.500e+01       -1.52655e+02     1.02224e+00      -1.521032816e+02         -1.522463200e+02       3.02e-01          -1.530444259e-02
   181     4.525e+01       -1.52129e+02     9.96256e-01      -1.521312802e+02         -1.522454496e+02       3.10e-01          -2.865840907e-02
   182     4.550e+01       -1.52394e+02     1.00995e+00      -1.524028479e+02         -1.522466476e+02       3.11e-01          -8.660296601e-02
   183     4.575e+01       -1.52306e+02     1.00445e+00      -1.521414063e+02         -1.522458569e+02       3.13e-01          -2.688034923e-02
   184     4.600e+01       -1.52269e+02     1.00298e+00      -1.521663345e+02         -1.522452648e+02       3.14e-01          -4.570695610e-02
   185     4.625e+01       -1.51676e+02     9.73877e-01      -1.521184457e+02         -1.522443544e+02       3.15e-01          -2.564023461e-02
   186     4.650e+01       -1.52339e+02     1.00717e+00      -1.521230114e+02         -1.522434602e+02       3.17e-01          -2.759350108e-02
   187     4.675e+01       -1.52159e+02     9.98500e-01      -1.522193227e+02         -1.522432852e+02       3.18e-01          -5.860208215e-02
   188     4.700e+01       -1.52095e+02     9.95147e-01      -1.522105663e+02         -1.522430504e+02       3.20e-01          -5.352359556e-02
   189     4.725e+01       -1.52024e+02     9.91525e-01      -1.521295523e+02         -1.522422446e+02       3.21e-01          -2.766822199e-02
   190     4.750e+01       -1.52225e+02     1.00189e+00      -1.521705438e+02         -1.522417339e+02       3.23e-01          -4.687400378e-02
   191     4.775e+01       -1.51751e+02     9.78498e-01      -1.521300943e+02         -1.522409626e+02       3.24e-01          -2.798810511e-02
   192     4.800e+01       -1.52128e+02     9.97415e-01      -1.523053672e+02         -1.522414130e+02       3.25e-01          -1.121090842e-01
   193     4.825e+01       -1.52045e+02     9.92641e-01      -1.522401628e+02         -1.522414043e+02       3.27e-01          -6.869299778e-02
   194     4.850e+01       -1.52513e+02     1.01589e+00      -1.521642224e+02         -1.522408623e+02       3.28e-01          -3.136813589e-02
   195     4.875e+01       -1.52639e+02     1.02250e+00      -1.525408247e+02         -1.522429678e+02       3.30e-01          -1.125418459e-01
   196     4.900e+01       -1.52523e+02     1.01481e+00      -1.528059298e+02         -1.522468626e+02       3.31e-01          -1.580846726e-01
   197     4.925e+01       -1.52047e+02     9.88092e-01      -1.522004434e+02         -1.522465520e+02       3.33e-01          -7.100648569e-02
   198     4.950e+01       -1.51829e+02     9.77800e-01      -1.522572349e+02         -1.522466223e+02       3.34e-01          -7.222860550e-02
   199     4.975e+01       -1.52454e+02     1.00894e+00      -1.521421442e+02         -1.522459179e+02       3.36e-01          -4.105698651e-02
   200     5.000e+01       -1.52558e+02     1.01487e+00      -1.524014029e+02         -1.522469652e+02       3.37e-01          -1.133345050e-01
   201     5.025e+01       -1.52166e+02     9.94517e-01      -1.521364672e+02         -1.522462406e+02       3.44e-01          -2.462991444e-02
   202     5.050e+01       -1.51675e+02     9.71068e-01      -1.522321182e+02         -1.522461508e+02       3.46e-01          -4.881347293e-02
   203     5.075e+01       -1.52119e+02     9.92995e-01      -1.522043403e+02         -1.522458806e+02       3.47e-01          -4.588719165e-02
   204     5.100e+01       -1.52734e+02     1.02432e+00      -1.522554004e+02         -1.522459436e+02       3.49e-01          -5.631876341e-02
   205     5.125e+01       -1.52170e+02     9.95796e-01      -1.521021630e+02         -1.522450238e+02       3.50e-01          -7.349544476e-03
   206     5.150e+01       -1.52034e+02     9.89790e-01      -1.522776327e+02         -1.522452298e+02       3.52e-01          -5.891877976e-02
   207     5.175e+01       -1.51943e+02     9.85110e-01      -1.521555442e+02         -1.522446693e+02       3.53e-01          -2.809664834e-02
   208     5.200e+01       -1.52319e+02     1.00428e+00      -1.521807105e+02         -1.522442644e+02       3.54e-01          -2.437741928e-02
   209     5.225e+01       -1.52099e+02     9.93542e-01      -1.521218569e+02         -1.522435025e+02       3.56e-01          -3.933866745e-03
